longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.31,38.01,22,2575,680,1367,645,1.4274,90500,INLAND
-120.98,37.79,20,2458,491,1227,481,2.7857,110900,INLAND
-117.97,33.71,25,3273,478,1645,497,5.8195,286100,'<1H OCEAN'
-121.9,36.59,42,2689,510,1023,459,4.6182,301000,'NEAR OCEAN'
-116.85,34.26,18,6988,1635,2044,726,2.4308,90600,INLAND
-117.95,33.63,29,1496,282,463,215,6.0516,500001,'<1H OCEAN'
-124.16,40.78,50,2285,403,837,353,2.5417,85400,'NEAR OCEAN'
-118.46,35.13,19,3109,640,1457,620,2.6417,94900,INLAND
-121.56,39.53,12,1733,421,1861,415,1.5771,65200,INLAND
-118.33,33.82,26,5591,934,2824,939,6.5861,417800,'<1H OCEAN'
-121.95,37.94,27,1469,216,578,219,5.9346,253600,INLAND
-121.42,38.53,37,1958,367,1171,366,2.8298,71200,INLAND
-122.26,37.56,23,7283,1342,3399,1298,5.6683,391000,'NEAR BAY'
-119.69,34.38,39,1383,459,677,362,2.25,281300,'NEAR OCEAN'
-121.42,38.64,42,1720,382,1069,362,1.8611,60500,INLAND
-122.14,40.07,31,2053,465,1193,447,1.4923,44400,INLAND
-117.08,32.68,19,3635,1078,3127,1098,1.324,122600,'NEAR OCEAN'
-119.97,36.44,18,1128,237,772,220,2.1771,39200,INLAND
-118.38,33.87,23,2387,418,1008,415,5.8518,337900,'<1H OCEAN'
-121.92,36.55,37,2190,419,490,300,3.7852,465800,'NEAR OCEAN'
-122.36,37.94,43,369,107,371,111,1.6,79400,'NEAR BAY'
-122.52,37.97,33,563,194,265,169,2.75,231300,'NEAR BAY'
-120.48,37.3,49,2919,719,1956,679,1.5427,88500,INLAND
-121.53,39.53,35,1806,293,683,295,4.5156,91200,INLAND
-121.4,38.55,19,2497,494,748,442,2.925,142400,INLAND
-122.02,38.02,44,1465,247,817,237,4.8693,156900,'NEAR BAY'
-117.98,34.53,13,2815,535,1492,491,4.0945,135700,INLAND
-120.94,39.32,14,3120,595,1569,556,3.5385,157400,INLAND
-118.29,34.08,38,380,130,445,140,1.9286,137500,'<1H OCEAN'
-118.27,33.86,29,2587,489,2115,475,3.7466,168600,'<1H OCEAN'
-118.14,34.06,27,5257,1082,3496,1036,3.3906,237200,'<1H OCEAN'
-118.35,34.07,46,1651,410,512,397,4.0179,350000,'<1H OCEAN'
-117.97,34.14,33,1328,348,903,329,3.1094,136000,INLAND
-116.91,34.24,23,6379,1636,1350,568,1.6336,124500,INLAND
-117.05,32.57,22,2857,516,2412,496,4.7337,127600,'NEAR OCEAN'
-118.27,34.05,26,1164,674,1685,541,1.5727,225000,'<1H OCEAN'
-118.22,33.8,36,1285,347,1291,337,3.7708,157100,'NEAR OCEAN'
-118,33.92,26,2830,399,1204,404,6.1273,289600,'<1H OCEAN'
-117.01,33.97,18,4775,886,1868,836,2.3355,118800,INLAND
-121.45,38.57,52,3994,635,1295,625,5.1169,232500,INLAND
-118.86,35.9,38,298,55,161,47,4.125,71300,INLAND
-122.48,37.67,15,2897,728,2340,720,3.3906,303700,'NEAR OCEAN'
-117.19,32.84,35,2263,427,1001,408,3.875,172000,'NEAR OCEAN'
-122.32,37.55,46,1437,266,607,263,4.8068,369700,'NEAR OCEAN'
-117.06,34.17,21,2520,582,416,151,2.712,89000,INLAND
-117.24,33.93,12,7105,1447,4520,1333,3.2705,113200,INLAND
-122.1,37.96,25,1374,206,569,235,6.3699,235500,'NEAR BAY'
-119.79,36.84,22,1529,375,1543,395,1.7926,51700,INLAND
-120.61,35.12,16,1671,354,935,340,2.5792,163800,'<1H OCEAN'
-117.15,32.92,16,2969,514,1594,465,4.5221,168300,'<1H OCEAN'
-117.1,32.9,16,2994,445,1047,437,5.149,184300,'<1H OCEAN'
-122.22,37.47,23,7740,1943,4124,1743,3.3268,322800,'NEAR OCEAN'
-118.14,33.97,31,2064,612,2461,573,2.0524,160800,'<1H OCEAN'
-121.26,37.96,43,940,208,690,181,2.3056,62300,INLAND
-122.49,37.99,27,5470,755,1916,764,6.994,420800,'NEAR BAY'
-122.16,37.83,16,4596,705,1480,650,7.52,370200,'NEAR BAY'
-118.1,33.86,21,3052,624,1588,568,4.3397,268100,'<1H OCEAN'
-117.97,33.84,18,1063,209,462,223,2.8348,219000,'<1H OCEAN'
-117.02,32.81,27,1950,317,950,320,4.0656,164000,'<1H OCEAN'
-118.38,34.02,31,1893,450,819,426,4.3077,140600,'<1H OCEAN'
-118.28,34.07,41,1072,331,1111,314,1.9233,207100,'<1H OCEAN'
-121.04,37.69,9,6333,1355,3265,1265,3.0217,160900,INLAND
-117.7,33.5,4,7474,1037,2969,1007,8.7591,434700,'<1H OCEAN'
-117.43,33.93,31,1273,262,686,254,2.4922,109400,INLAND
-117.06,32.62,36,786,125,408,138,3.9167,189700,'NEAR OCEAN'
-118.36,34.06,39,2810,670,1109,624,3.25,355000,'<1H OCEAN'
-119.81,36.8,38,2252,325,777,314,6.1575,160100,INLAND
-122.16,39.78,32,1288,221,562,203,2.325,69600,INLAND
-119.25,35.78,35,1927,386,1371,414,2.2981,69900,INLAND
-118.2,34.02,48,2230,593,2419,598,2.3944,130700,'<1H OCEAN'
-121.01,37.7,12,9148,1906,4656,1853,3.2447,142200,INLAND
-118.48,34.03,32,1793,476,1143,448,2.8981,353600,'<1H OCEAN'
-122.07,37.13,26,1127,199,543,199,4.9792,240000,'NEAR OCEAN'
-122.33,37.58,27,5144,1481,2518,1447,3.4836,287900,'NEAR OCEAN'
-118.28,34.11,52,1803,437,787,388,4.5781,360500,'<1H OCEAN'
-121.88,38.01,9,5329,1284,2827,1202,2.7374,150000,INLAND
-117.89,33.92,8,2120,544,1281,470,3.4954,159500,'<1H OCEAN'
-118.22,33.93,39,1921,483,2286,470,3.0167,130000,'<1H OCEAN'
-118.58,34.17,18,6476,1082,2413,958,5.6327,500001,'<1H OCEAN'
-118.37,34.16,40,1973,382,774,352,4.4122,282300,'<1H OCEAN'
-121.37,38.63,30,5996,1018,2532,1049,4.6127,151800,INLAND
-122.52,38.27,18,2405,390,872,367,5.2155,248300,'<1H OCEAN'
-118.29,34.11,40,2681,737,1144,669,3.0461,264300,'<1H OCEAN'
-121.61,38.38,37,1365,276,952,268,4.037,156900,INLAND
-117.82,35.03,30,2555,510,1347,467,3.3693,71800,INLAND
-121.46,38.53,37,2745,588,1607,556,1.8007,65400,INLAND
-117.91,33.85,22,1178,289,865,294,3.025,180000,'<1H OCEAN'
-122.48,37.73,38,3195,828,2410,778,3.1359,350000,'NEAR OCEAN'
-122.06,37.34,13,2057,466,790,436,5.0081,288300,'<1H OCEAN'
-117.97,33.87,28,1784,440,1255,433,3.7054,169200,'<1H OCEAN'
-124.19,41.78,15,3140,714,1645,640,1.6654,74600,'NEAR OCEAN'
-116.94,32.81,22,4266,1010,2766,985,2.8175,135200,'<1H OCEAN'
-120.45,36.85,20,1519,376,1681,370,2.1759,58100,INLAND
-121.35,37.96,21,1343,183,462,193,5.8995,189900,INLAND
-121.93,37.29,36,2241,437,989,442,3.9625,288200,'<1H OCEAN'
-116.33,34.15,13,1808,411,735,320,1.5489,57400,INLAND
-119.01,35.34,36,973,219,613,187,1.5625,46700,INLAND
-121.91,36.6,35,2605,410,1110,406,5.5519,329500,'NEAR OCEAN'
-119.78,38.69,17,1364,282,338,152,2.45,117600,INLAND
-118.04,33.94,31,3808,670,2430,660,4.625,173900,'<1H OCEAN'
-120.64,37.38,19,2256,449,1469,435,2.5129,84600,INLAND
-121.46,38.49,15,10211,1995,5656,1752,2.575,107900,INLAND
-116.98,32.74,17,3943,843,1995,766,2.6944,158300,'<1H OCEAN'
-121.21,37.5,34,294,49,147,47,3,162500,INLAND
-121.84,37.33,28,1535,330,1937,317,4.1146,160100,'<1H OCEAN'
-117.1,32.83,16,1049,154,467,160,6.2047,248100,'<1H OCEAN'
-123.8,39.44,33,2024,459,1019,422,1.9208,93600,'<1H OCEAN'
-121.39,38.55,18,1734,467,783,447,1.9044,154300,INLAND
-118.13,34.13,52,2826,381,924,365,7.9976,500001,'<1H OCEAN'
-117.67,34.1,19,2969,605,1326,573,4.3438,155700,INLAND
-117.87,33.63,9,6163,1004,1912,903,10.8289,500001,'<1H OCEAN'
-119.24,36.8,17,2052,405,975,340,2.6902,94400,INLAND
-121.97,37.28,27,2427,403,1301,438,5.0385,277300,'<1H OCEAN'
-117.99,33.79,33,2064,324,1384,315,4.5263,169000,'<1H OCEAN'
-118.4,34.16,34,2638,580,1150,551,4.2989,364700,'<1H OCEAN'
-121.27,37.79,16,1853,390,1013,362,2.7083,173900,INLAND
-118.28,34.18,52,2602,418,1137,419,5.3185,358000,'<1H OCEAN'
-118.19,34.22,32,10626,1504,4353,1482,9.8413,500001,'<1H OCEAN'
-120.48,35.02,17,2721,477,1672,492,2.9798,204800,'<1H OCEAN'
-118.35,34.08,52,2088,388,908,375,3.8141,342000,'<1H OCEAN'
-118.61,34.17,31,1689,362,705,360,4,278500,'<1H OCEAN'
-118.36,33.96,21,1802,556,1286,557,2.7284,146900,'<1H OCEAN'
-122.28,37.84,50,2082,492,1131,473,1.6424,108900,'NEAR BAY'
-119.8,36.78,43,2382,431,874,380,3.5542,96500,INLAND
-122.3,37.9,41,2053,435,873,415,3.4091,223000,'NEAR BAY'
-122.43,37.71,24,4299,857,2249,788,4.6098,290400,'NEAR BAY'
-118.87,35.65,33,1504,325,584,223,3.4792,94600,INLAND
-117.13,32.72,19,1341,435,1048,360,1.975,117900,'NEAR OCEAN'
-119.75,36.77,32,1962,399,1005,392,2.6726,70400,INLAND
-117.32,34.17,6,5661,1287,2943,1162,3.6362,106500,INLAND
-119.73,34.44,48,2114,390,973,367,4.8021,351100,'NEAR OCEAN'
-122.08,37.08,35,1541,297,791,277,4.425,204800,'NEAR OCEAN'
-116.92,32.8,33,1518,268,857,272,3.5586,160400,'<1H OCEAN'
-117.88,33.73,32,1947,355,1786,332,4.5726,177500,'<1H OCEAN'
-121.98,36.96,20,3495,818,2186,772,3.1167,258300,'NEAR OCEAN'
-123.4,39.46,10,4086,831,2111,758,3.2156,104400,'<1H OCEAN'
-121.99,38.36,33,146,31,75,31,3.5179,84400,INLAND
-118.24,33.96,34,946,254,1101,239,1.7396,105900,'<1H OCEAN'
-120.98,37.68,27,4006,762,1806,718,3.1848,112800,INLAND
-117.86,33.75,6,1565,599,3157,629,2.9271,123200,'<1H OCEAN'
-122.18,37.68,5,2087,407,840,401,5.4858,187800,'NEAR BAY'
-117.58,33.6,5,5348,659,1862,555,11.0567,495400,'<1H OCEAN'
-121.67,39.14,22,2264,390,1056,403,3.6111,112300,INLAND
-117.76,34.06,30,1700,504,1719,459,2.227,91900,INLAND
-117.14,32.7,43,1126,289,1132,294,2.1875,87000,'NEAR OCEAN'
-122.48,37.76,48,2304,558,1273,512,3.275,332100,'NEAR BAY'
-122.43,37.75,52,2700,595,1181,575,3.575,396800,'NEAR BAY'
-118.32,33.82,22,2508,402,1254,395,7.0935,379500,'<1H OCEAN'
-120.45,37.32,19,3136,466,1631,484,3.6471,101400,INLAND
-117.74,34.09,30,3199,591,2192,563,3.4871,136400,INLAND
-116.9,34.69,10,337,102,108,50,0.4999,55000,INLAND
-118.96,35.4,27,2473,400,1271,427,3.5524,89100,INLAND
-122.41,37.8,52,2892,751,1785,733,3.5746,350000,'NEAR BAY'
-117.2,32.82,35,1217,220,643,237,3.9464,171600,'NEAR OCEAN'
-122.68,38.46,19,4976,711,1926,625,7.3003,381300,'<1H OCEAN'
-118.42,34.16,25,2769,566,1201,545,3.6641,386100,'<1H OCEAN'
-117.24,32.85,18,3117,475,904,368,6.7587,388500,'NEAR OCEAN'
-117.03,32.73,34,2061,?,1169,400,3.5096,142000,'NEAR OCEAN'
-121.85,37.24,17,6425,1268,3934,1238,5.1228,237600,'<1H OCEAN'
-116.86,33.02,17,401,68,251,69,4.6518,170200,'<1H OCEAN'
-119.88,34.4,25,2741,623,2272,624,2.2647,216700,'NEAR OCEAN'
-118.29,33.74,41,1382,361,905,344,2.75,238300,'NEAR OCEAN'
-116.9,33.22,11,4132,773,2012,703,3.1906,234500,'<1H OCEAN'
-118.31,34.02,46,1976,469,1409,431,2.2981,112100,'<1H OCEAN'
-118.38,34.21,38,1363,395,1798,405,2.3182,171200,'<1H OCEAN'
-118.87,34.21,26,4439,616,1881,592,6.2935,258000,'<1H OCEAN'
-122.01,37.98,25,1476,336,777,297,3.5179,165500,'NEAR BAY'
-117.06,33.03,23,2023,309,678,340,7.0913,265400,'<1H OCEAN'
-118.11,34.16,52,1353,274,852,306,3.4583,239900,INLAND
-121.74,38.15,22,1910,326,1001,345,4.8173,115800,INLAND
-117.97,33.77,22,2244,575,1543,533,2.6618,179600,'<1H OCEAN'
-122.41,37.8,52,3260,1535,3260,1457,0.9,500001,'NEAR BAY'
-121.64,39.15,15,2659,396,1159,407,5.234,124900,INLAND
-121.37,38.56,18,2129,363,815,347,2.7679,118000,INLAND
-117.07,33.67,11,939,187,557,190,2.375,145800,INLAND
-118.26,33.93,42,1433,295,775,293,1.1326,104800,'<1H OCEAN'
-122.16,37.46,32,2663,661,1403,733,4.2667,410200,'NEAR BAY'
-118,33.89,35,1065,176,574,171,5.0384,200800,'<1H OCEAN'
-121.28,38.67,23,1727,264,833,258,5.4797,160000,INLAND
-122.21,37.79,47,1543,307,859,292,2.9583,138800,'NEAR BAY'
-122.48,37.75,49,2203,407,1052,405,4.4375,329200,'NEAR BAY'
-121.9,37.3,52,1456,269,582,277,5.036,296600,'<1H OCEAN'
-122.57,37.99,45,2404,425,926,400,4.9674,320100,'NEAR BAY'
-117.88,33.7,24,534,88,249,74,5.3254,240500,'<1H OCEAN'
-117.95,34.07,37,1375,260,951,272,3.2083,195200,'<1H OCEAN'
-117.68,33.6,19,3913,460,1646,454,7.2147,303900,'<1H OCEAN'
-119.6,36.56,36,738,168,737,186,1.4415,54400,INLAND
-119.18,34.16,12,460,101,405,103,5.2783,167400,'NEAR OCEAN'
-119.63,34.42,42,1765,263,753,260,8.5608,500001,'<1H OCEAN'
-121.06,38.91,18,6501,1416,2954,1373,2.5373,143000,INLAND
-122.16,37.76,45,2299,514,1437,484,2.5122,95500,'NEAR BAY'
-118.44,34.05,18,4780,1192,1886,1036,4.4674,500001,'<1H OCEAN'
-117.17,32.77,35,1399,274,695,281,3.767,166800,'NEAR OCEAN'
-117.98,33.82,34,1290,220,867,241,5.5486,218100,'<1H OCEAN'
-118.39,34.08,27,6605,1710,2665,1520,3.8088,500001,'<1H OCEAN'
-118.3,34.06,23,2512,1203,3720,1118,1.7896,322200,'<1H OCEAN'
-119.18,34.26,22,2334,359,1298,363,5.5275,228900,'NEAR OCEAN'
-118,34.15,48,3436,673,1540,648,4.275,256800,INLAND
-117.88,34.1,32,3357,621,1696,604,4.2685,216600,'<1H OCEAN'
-118.11,34.15,26,2193,558,1186,559,3.6474,184100,'<1H OCEAN'
-122.37,37.59,52,2272,403,963,376,5.7245,500000,'NEAR OCEAN'
-119.02,34.24,24,4650,748,2374,702,5.8838,232600,'<1H OCEAN'
-122.24,38.11,52,2111,310,772,323,4.775,148200,'NEAR BAY'
-121.96,37.99,2,3129,707,1606,698,2.9591,210100,INLAND
-122.16,38.9,33,1221,236,488,199,3.7574,92700,INLAND
-120.35,37.31,17,605,159,416,83,2,87500,INLAND
-121.91,37.32,42,1067,256,608,280,3.0096,180800,'<1H OCEAN'
-122.4,37.8,52,2094,568,920,503,4.2015,412500,'NEAR BAY'
-118.16,33.91,28,2922,739,3013,673,2.9531,127100,'<1H OCEAN'
-119.79,36.72,41,1562,322,927,277,1.3047,44100,INLAND
-117.12,34.06,38,281,55,151,52,1.3906,120800,INLAND
-120.7,36.99,32,320,73,222,78,2.9271,87500,INLAND
-119.56,36.09,14,1267,290,1077,279,1.85,52300,INLAND
-118.49,34.04,50,2597,340,964,339,13.3036,500001,'<1H OCEAN'
-117.21,32.85,15,2593,521,901,456,4.2065,277800,'NEAR OCEAN'
-118.26,34.08,41,1396,360,1069,363,2.4375,203300,'<1H OCEAN'
-122.27,37.51,36,1406,224,598,237,5.8964,414800,'NEAR OCEAN'
-117.14,32.93,16,2412,419,1612,422,4.5086,171100,'<1H OCEAN'
-121.59,39.75,20,908,206,481,211,2.2,80800,INLAND
-122.05,37.36,29,1733,255,679,278,7.5337,406800,'<1H OCEAN'
-118.94,35.39,13,3137,417,1318,397,7.7751,194100,INLAND
-117.96,33.84,31,2265,537,1617,507,3.4583,186300,'<1H OCEAN'
-122.65,38.24,24,1948,310,922,313,4.95,243600,'<1H OCEAN'
-117.05,33.13,22,2427,390,1099,362,5.2323,167500,'<1H OCEAN'
-117.15,34.05,9,1442,219,633,230,5.0227,162300,INLAND
-122.39,37.76,52,1877,427,712,398,3.9722,290900,'NEAR BAY'
-121.25,38.01,16,2397,501,1053,557,2.6994,112500,INLAND
-118.13,34.1,19,2742,756,1396,703,2.5663,197500,'<1H OCEAN'
-117.59,34.13,10,20263,3915,9716,3744,3.8505,169600,INLAND
-118.28,34,38,3335,921,3612,887,2.125,118800,'<1H OCEAN'
-117.08,32.93,5,14944,2490,6600,2407,6.0857,308300,'<1H OCEAN'
-123.34,39.39,18,2821,628,1636,615,2.3333,84000,'<1H OCEAN'
-118.28,34.76,19,3430,601,1817,571,4.7875,163600,INLAND
-117.8,33.79,13,2021,362,1081,341,4.3269,231400,'<1H OCEAN'
-121.25,38.05,25,1967,362,1035,361,3.5735,106800,INLAND
-117.17,32.77,6,3856,875,1547,816,4.5481,164800,'NEAR OCEAN'
-117.16,32.8,37,422,79,211,80,3.0625,159700,'NEAR OCEAN'
-118.07,34.09,40,1745,370,1293,357,2.5474,198100,'<1H OCEAN'
-121.99,37.39,25,3495,834,2484,797,4.8145,230700,'<1H OCEAN'
-118.03,33.95,34,1882,428,1034,375,3.6509,173200,'<1H OCEAN'
-122.02,37.29,25,3845,492,1461,475,10.3979,500001,'<1H OCEAN'
-117.95,33.71,20,2781,407,1242,408,6.1092,306500,'<1H OCEAN'
-119.79,36.82,23,4358,819,1852,802,3.4167,105200,INLAND
-122.29,37.76,18,2873,763,1243,663,5.1702,265400,'NEAR BAY'
-122.36,40.62,11,3896,886,1902,843,2.2905,94200,INLAND
-121.04,37.78,32,2916,528,1466,473,2.5643,200000,INLAND
-117.75,34.06,44,477,135,502,117,2.0156,112500,INLAND
-121.94,38.36,2,4953,735,1791,562,5.0346,205100,INLAND
-121.35,38.72,2,21897,3513,8652,2873,4.5432,151300,INLAND
-120.14,36.04,27,2533,518,1371,461,2.9708,60900,INLAND
-118.32,33.91,34,3041,677,1920,640,4.5304,181300,'<1H OCEAN'
-117.97,33.65,26,2379,336,988,346,5.3674,339300,'<1H OCEAN'
-118.36,33.8,38,2553,400,1042,393,6.9742,500001,'NEAR OCEAN'
-122.46,37.72,52,2951,406,1115,397,6.7228,405200,'NEAR OCEAN'
-120.77,40.65,11,2635,667,280,132,1.7214,118300,INLAND
-117.9,33.64,28,2466,507,1081,465,3.9375,339800,'<1H OCEAN'
-118.39,34.08,28,833,230,349,210,3.067,375000,'<1H OCEAN'
-121.96,37.24,26,3032,605,1208,562,5.4683,430900,'<1H OCEAN'
-117.98,33.64,20,1851,495,792,363,3.8187,137500,'NEAR OCEAN'
-118.37,34.24,40,1283,246,594,236,4.1121,229200,'<1H OCEAN'
-118.27,33.8,28,4698,902,3287,881,4.8508,215900,'<1H OCEAN'
-118.38,34.28,22,4428,825,3152,836,4.7932,166300,'<1H OCEAN'
-119.67,36.8,9,3712,508,1632,474,6.011,163100,INLAND
-122.19,37.76,49,1368,282,790,269,1.7056,91400,'NEAR BAY'
-118.24,34.16,52,850,162,493,160,6.9408,298800,'<1H OCEAN'
-122.52,37.98,31,6555,1571,2962,1464,2.8903,324200,'NEAR BAY'
-117.6,33.72,36,1317,228,531,214,5.6346,272500,'<1H OCEAN'
-119.06,34.22,13,4175,1321,2257,1271,3.1446,177100,'<1H OCEAN'
-117.27,33.02,21,2144,340,928,344,5.798,286100,'NEAR OCEAN'
-121.39,38.59,33,2091,468,1053,470,2.2264,108100,INLAND
-120.96,41.12,29,779,136,364,123,2.5,59200,INLAND
-118.26,34.07,28,579,184,673,202,2.625,187500,'<1H OCEAN'
-121.99,37.36,32,1754,324,917,330,4.6761,298300,'<1H OCEAN'
-117.19,32.83,30,3225,555,1601,532,4.3317,173300,'NEAR OCEAN'
-122.95,40.71,26,2231,421,987,364,2.4792,88800,INLAND
-118.27,34.07,42,1175,428,1593,407,2.3438,213300,'<1H OCEAN'
-117.99,33.69,17,3386,729,1715,666,3.7479,213000,'<1H OCEAN'
-117.96,34.02,33,349,124,460,83,2.375,133300,'<1H OCEAN'
-117.34,34.02,28,2683,708,2047,636,2.275,85400,INLAND
-119.18,34.23,16,4609,1220,2147,1007,3.375,218800,'NEAR OCEAN'
-117.87,33.81,15,3082,536,1268,531,3.7604,280100,'<1H OCEAN'
-122.38,40.67,10,2281,444,1274,438,2.212,65600,INLAND
-117.29,33.18,17,821,176,436,168,3.1667,160600,'NEAR OCEAN'
-122.27,38.53,22,678,137,336,103,4.4,142500,INLAND
-118.4,34.07,22,2170,593,850,520,2.9107,500001,'<1H OCEAN'
-117.28,34.41,14,2105,396,960,396,2.9934,118200,INLAND
-119.69,36.83,7,2075,353,1040,362,3.9943,100200,INLAND
-122.01,38.27,17,9089,1542,4758,1520,4.0619,126600,INLAND
-120.65,36.98,26,1787,364,1548,362,1.7188,49500,INLAND
-121.87,37.38,14,3851,534,2052,478,7.0735,335600,'<1H OCEAN'
-117.85,33.61,14,4340,741,1505,670,7.5674,500001,'<1H OCEAN'
-117.81,33.79,23,3114,610,2045,577,3.75,211900,'<1H OCEAN'
-118.14,34.03,45,1569,359,1203,359,2.4612,180500,'<1H OCEAN'
-118.37,34.09,38,4408,1295,1690,1229,3.0156,300000,'<1H OCEAN'
-118.43,34.17,35,2922,507,1130,485,5.451,341800,'<1H OCEAN'
-119.69,34.43,44,2440,485,1011,442,4.149,443600,'<1H OCEAN'
-117.03,34.02,26,3909,670,1884,665,4.1361,121000,INLAND
-120.74,39.82,9,1955,398,294,122,3.9583,126500,INLAND
-118.25,33.9,38,1201,223,733,206,3.3804,105800,'<1H OCEAN'
-117.12,33.14,12,2363,408,1211,396,3.8967,172600,'<1H OCEAN'
-118.13,34.18,52,1464,211,603,226,5.8309,309100,INLAND
-118.52,34.2,35,2891,594,1757,581,4.3571,199800,'<1H OCEAN'
-118.14,34.03,44,2003,390,1291,392,4.0625,201100,'<1H OCEAN'
-122.68,38.43,18,2723,529,1150,520,3.5885,191900,'<1H OCEAN'
-119.73,36.52,20,1741,331,1466,289,2.5921,94200,INLAND
-117.83,33.8,30,4713,758,2271,730,5.8622,221000,'<1H OCEAN'
-121.33,38.7,15,2226,421,1004,417,2.7868,117800,INLAND
-117.66,35.61,5,5735,932,2623,862,4.8494,87200,INLAND
-122.24,38.14,15,8479,1759,5008,1646,3.724,131600,'NEAR BAY'
-122.26,41.66,17,1885,350,953,328,2.1607,61400,INLAND
-117.16,33.73,10,2381,454,1323,477,2.6322,140700,INLAND
-118.07,33.86,31,2943,518,1703,472,3.7091,225900,'<1H OCEAN'
-122.14,37.73,51,2619,403,922,393,4.6042,251900,'NEAR BAY'
-117.05,32.95,17,4814,1091,3013,1078,3.2369,167800,'<1H OCEAN'
-118.35,33.88,25,1459,362,1150,354,3.35,237500,'<1H OCEAN'
-121.84,39.74,43,2976,599,1181,560,2.2621,85100,INLAND
-117.05,32.82,16,4046,731,1684,701,4.2312,197000,'<1H OCEAN'
-118.2,33.81,43,3013,574,1525,529,4.95,194000,'NEAR OCEAN'
-121.31,38.66,27,1713,282,761,295,5.2081,136400,INLAND
-118.43,33.82,34,2112,614,946,574,4.6048,500001,'NEAR OCEAN'
-121.89,37.3,46,2639,448,938,424,5.0662,331600,'<1H OCEAN'
-118.49,34.02,28,2545,752,1548,679,2.9125,475000,'<1H OCEAN'
-121.82,39.75,37,2236,372,974,379,3.2016,97000,INLAND
-122.53,37.97,44,3595,953,1831,910,2.6036,287500,'NEAR BAY'
-118.03,33.76,32,2980,494,1370,481,5.0866,223500,'<1H OCEAN'
-122.53,37.96,36,4385,620,1549,626,8.3935,470500,'NEAR BAY'
-118.14,34.03,38,1447,293,1042,284,4.1375,211500,'<1H OCEAN'
-120.57,34.96,38,1145,297,1107,296,2.1776,89100,'NEAR OCEAN'
-118.24,33.89,32,1132,266,1211,279,2.1838,98300,'<1H OCEAN'
-121.3,37.96,52,1475,238,736,260,3.6591,105100,INLAND
-121.3,37.96,52,1475,238,736,260,3.6591,105100,INLAND
-122.46,37.79,52,2005,359,847,356,4.1029,500001,'NEAR BAY'
-121.93,37.28,10,3163,832,1537,797,4.1674,214000,'<1H OCEAN'
-122.29,37.92,32,1736,234,602,231,6.516,401000,'NEAR BAY'
-120.37,36.13,10,2522,533,1335,493,3.2639,86400,INLAND
-119.05,35.44,5,2133,487,1182,438,3.0268,77000,INLAND
-121.36,38,17,4535,762,1562,743,5.3224,225800,INLAND
-122.18,37.75,46,941,218,621,195,1.325,87100,'NEAR BAY'
-117.35,34.2,5,9269,1605,4916,1519,4.4367,133200,INLAND
-117.57,34.02,5,6933,1311,3845,1285,4.6727,158900,INLAND
-122.1,37.65,36,410,76,252,82,4.5303,175000,'NEAR BAY'
-117.06,32.62,36,786,125,408,138,3.9167,189700,'NEAR OCEAN'
-118.17,34.09,36,3066,797,3097,780,2.5523,156500,'<1H OCEAN'
-122.48,37.74,52,2841,517,1372,517,3.9236,335000,'NEAR OCEAN'
-119.17,34.29,28,731,155,285,162,3.2917,225000,'NEAR OCEAN'
-117.75,34.06,52,1171,318,1126,276,1.9762,105800,INLAND
-120.46,37.3,36,3346,739,2151,713,2.3095,68300,INLAND
-122.59,38.92,15,1410,329,599,273,2.1953,75000,INLAND
-117.36,34.28,18,3903,715,1388,428,4.2386,157200,INLAND
-122.95,38.73,37,1548,328,863,287,2.9792,151300,'<1H OCEAN'
-118.13,33.78,31,3039,739,1199,697,3.7232,500001,'NEAR OCEAN'
-121.06,37.45,33,1401,299,915,282,3.4464,162500,INLAND
-117.69,33.6,16,2205,393,1333,402,3.475,279500,'<1H OCEAN'
-122.18,37.75,45,330,76,282,80,4.0469,80700,'NEAR BAY'
-122.41,37.73,42,2604,573,1703,507,3.4231,230200,'NEAR BAY'
-117.76,34.05,36,2910,819,3055,782,1.9029,98000,INLAND
-117.21,33.61,7,7722,1324,2975,1161,3.6273,150900,'<1H OCEAN'
-122.44,37.79,52,1447,186,483,181,15.0001,500001,'NEAR BAY'
-118.52,34.18,42,1611,410,879,386,3.1923,221800,'<1H OCEAN'
-117.86,34.02,19,6300,937,3671,943,5.9716,262100,'<1H OCEAN'
-117.08,32.75,15,1821,516,1385,439,2.5101,95300,'NEAR OCEAN'
-118.32,33.81,27,2113,380,1109,360,4.7062,357000,'<1H OCEAN'
-118.28,34.01,50,2601,794,3080,770,1.8656,122900,'<1H OCEAN'
-121.82,38.36,26,1974,364,1002,362,3.3036,210000,INLAND
-117.92,33.68,25,2017,454,1024,428,4.4732,245600,'<1H OCEAN'
-120.23,37.98,14,1954,368,917,316,3.1523,93300,INLAND
-122.42,37.74,52,1786,427,856,394,3.0833,328100,'NEAR BAY'
-117.6,33.94,26,2925,575,1921,501,3.1859,153100,INLAND
-117.34,33.15,17,4505,1140,2111,1062,3.3536,283300,'NEAR OCEAN'
-120.01,38.92,25,1758,357,689,278,2.675,104200,INLAND
-121.97,37.36,36,765,134,306,136,4.575,247600,'<1H OCEAN'
-117.95,33.92,11,3127,706,1594,694,4.3426,141300,'<1H OCEAN'
